,Type,Air_temperature,Process_temperature,Rotational_speed,Torque,Tool_wear,Machine_failure,TWF,HDF,PWF,OSF,RNF,Failure_type
75,Low,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,NF
76,Low,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,NF
77,Low,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,TWF
78,Low,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,NF
79,Low,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,NF
80,High,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,NF
81,Low,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,NF
82,Low,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,NF
83,Low,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,NF
84,Low,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,NF
85,Medium,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,NF
86,High,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,NF
87,Low,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,NF
88,Medium,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,NF
89,Medium,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,NF
90,Low,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,NF
91,Low,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,NF
92,Medium,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,NF
93,Low,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,NF
94,Low,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,NF
95,Medium,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,NF
96,Medium,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,NF
97,Medium,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,NF
98,Low,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,NF
99,Low,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,NF
100,Low,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,NF
101,Low,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,NF
102,Low,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,NF
103,Medium,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,NF
104,Low,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,NF
105,Low,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,NF
106,Low,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,NF
107,Medium,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,NF
108,High,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,NF
109,Low,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,NF
110,Low,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,NF
111,High,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,NF
112,Medium,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,NF
113,Medium,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,NF
114,Low,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,NF
115,Low,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,NF
116,Low,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,NF
117,Low,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,NF
118,Medium,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,NF
119,Low,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,NF
120,Low,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,NF
121,Low,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,NF
122,Low,299.0,308.8,1310,50.7,112,0,0,0,0,0,0,NF
123,Low,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,NF
124,Low,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,NF
125,Low,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,NF
126,Low,299.0,308.6,1329,60.5,120,0,0,0,0,0,0,NF
127,Low,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,NF
128,Low,299.0,308.6,1587,38.6,124,0,0,0,0,0,0,NF
129,Low,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,NF
130,Low,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,NF
131,Low,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,NF
132,Medium,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,NF
133,Medium,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,NF
134,Low,298.8,308.4,1369,53.0,138,0,0,0,0,0,0,NF
135,Medium,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,NF
136,High,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,NF
137,Low,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,NF
138,High,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,NF
139,Low,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,NF
140,Low,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,NF
141,Low,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,NF
142,Medium,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,NF
143,High,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,NF
144,Medium,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,NF
145,Low,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,NF
146,High,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,NF
147,Low,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,NF
148,Medium,298.3,308.3,1379,48.0,181,0,0,0,0,0,0,NF
149,Low,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,NF
150,Low,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,NF
151,Medium,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,NF
152,Medium,298.4,308.2,1584,41.0,191,0,0,0,0,0,0,NF
153,Low,298.4,308.2,1850,27.0,194,0,0,0,0,0,0,NF
154,Low,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,NF
155,High,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,NF
156,Medium,298.4,308.1,1495,46.0,203,0,0,0,0,0,0,NF
157,High,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,NF
158,Medium,298.4,308.2,1499,40.0,211,0,0,0,0,0,0,NF
159,Low,298.4,308.2,1471,47.0,214,0,0,0,0,0,0,NF
160,Low,298.4,308.2,1282,60.7,216,1,0,0,0,1,0,OSF
161,Low,298.3,308.1,1412,52.3,218,1,0,0,0,1,0,OSF
162,Low,298.3,308.1,1586,35.5,0,0,0,0,0,0,0,NF
163,Medium,298.4,308.2,1468,43.8,2,0,0,0,0,0,0,NF
164,Medium,298.5,308.3,1440,43.6,5,0,0,0,0,0,0,NF
165,Low,298.5,308.4,1733,26.0,8,0,0,0,0,0,0,NF
166,High,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,NF
167,High,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,NF
168,Low,298.4,308.3,1433,62.3,20,1,0,0,1,0,0,PWF
169,Low,298.4,308.3,1318,59.1,22,0,0,0,0,0,0,NF
170,Medium,298.4,308.2,1610,35.0,24,0,0,0,0,0,0,NF
171,Low,298.2,308.1,1462,50.8,27,0,0,0,0,0,0,NF
172,Medium,298.1,308.0,1924,20.8,29,0,0,0,0,0,0,NF
173,Medium,298.2,308.0,1591,33.7,32,0,0,0,0,0,0,NF
174,Low,298.2,308.1,1306,58.3,35,0,0,0,0,0,0,NF
175,Low,298.2,308.1,1382,43.5,37,0,0,0,0,0,0,NF
176,Low,298.2,308.1,1618,34.7,39,0,0,0,0,0,0,NF
177,Low,298.2,308.2,1988,21.4,41,0,0,0,0,0,0,NF
178,Low,298.2,308.2,1436,50.2,43,0,0,0,0,0,0,NF
179,Low,298.2,308.3,1304,49.8,45,0,0,0,0,0,0,NF
180,Low,298.2,308.3,1475,49.9,47,0,0,0,0,0,0,NF
181,High,298.2,308.3,1824,24.2,49,0,0,0,0,0,0,NF
182,Medium,298.1,308.2,1342,48.1,54,0,0,0,0,0,0,NF
183,Low,298.1,308.2,1485,40.7,57,0,0,0,0,0,0,NF
184,Low,298.2,308.2,1667,30.6,59,0,0,0,0,0,0,NF
185,Low,298.2,308.2,1446,38.2,61,0,0,0,0,0,0,NF
186,Low,298.1,308.3,1301,56.0,63,0,0,0,0,0,0,NF
187,Low,298.2,308.4,1379,43.1,65,0,0,0,0,0,0,NF
188,Low,298.3,308.5,1606,33.6,67,0,0,0,0,0,0,NF
189,Medium,298.3,308.4,1539,43.4,69,0,0,0,0,0,0,NF
190,Low,298.2,308.4,1477,49.9,72,0,0,0,0,0,0,NF
191,Low,298.2,308.4,1666,34.6,74,0,0,0,0,0,0,NF
192,High,298.2,308.4,1398,51.8,76,0,0,0,0,0,0,NF
193,High,298.2,308.4,1678,34.6,81,0,0,0,0,0,0,NF
194,Medium,298.2,308.5,2678,10.7,86,1,0,0,1,0,0,PWF
195,Low,298.3,308.5,1453,42.9,89,0,0,0,0,0,0,NF
196,High,298.3,308.6,1432,49.5,91,0,0,0,0,0,0,NF
197,Medium,298.4,308.6,1527,40.9,96,0,0,0,0,0,0,NF
198,Low,298.4,308.7,1588,35.0,99,0,0,0,0,0,0,NF
199,Low,298.4,308.6,1433,47.1,101,0,0,0,0,0,0,NF
200,Low,298.4,308.6,1609,35.0,103,0,0,0,0,0,0,NF
201,Low,298.3,308.5,1575,41.2,105,0,0,0,0,0,0,NF
202,Medium,298.4,308.5,1636,35.7,107,0,0,0,0,0,0,NF
203,Low,298.4,308.5,1490,37.9,110,0,0,0,0,0,0,NF
204,Low,298.4,308.5,1741,32.8,112,0,0,0,0,0,0,NF
205,Medium,298.5,308.6,1344,53.0,114,0,0,0,0,0,0,NF
206,Low,298.5,308.7,1609,35.3,117,0,0,0,0,0,0,NF
207,Medium,298.4,308.7,1421,60.7,119,1,0,0,1,0,0,PWF
208,Low,298.4,308.6,1591,36.7,122,0,0,0,0,0,0,NF
209,Low,298.4,308.6,1477,44.0,124,0,0,0,0,0,0,NF
210,Low,298.4,308.7,1523,36.1,126,0,0,0,0,0,0,NF
211,Low,298.5,308.7,1575,33.9,128,0,0,0,0,0,0,NF
212,High,298.4,308.7,1344,52.9,130,0,0,0,0,0,0,NF
213,Low,298.4,308.7,1386,44.9,135,0,0,0,0,0,0,NF
214,Medium,298.3,308.6,1589,37.1,137,0,0,0,0,0,0,NF
215,Low,298.3,308.6,1548,40.3,140,0,0,0,0,0,0,NF
216,Low,298.3,308.6,1499,38.3,142,0,0,0,0,0,0,NF
217,Low,298.3,308.5,1664,31.6,144,0,0,0,0,0,0,NF
218,Low,298.3,308.6,1447,38.1,146,0,0,0,0,0,0,NF
219,Medium,298.3,308.5,1434,46.2,148,0,0,0,0,0,0,NF
220,Low,298.3,308.5,1416,52.7,151,0,0,0,0,0,0,NF
221,High,298.4,308.5,1827,24.3,153,0,0,0,0,0,0,NF
222,Low,298.4,308.6,1304,45.0,158,0,0,0,0,0,0,NF
223,Low,298.4,308.6,1569,34.4,160,0,0,0,0,0,0,NF
224,Low,298.3,308.6,1584,29.3,162,0,0,0,0,0,0,NF
225,Low,298.3,308.5,1362,53.8,164,0,0,0,0,0,0,NF
226,Low,298.3,308.4,1329,49.2,166,0,0,0,0,0,0,NF
227,Low,298.3,308.5,1539,36.1,168,0,0,0,0,0,0,NF
228,Medium,298.3,308.5,1629,37.1,170,0,0,0,0,0,0,NF
229,Low,298.3,308.5,1538,32.2,173,0,0,0,0,0,0,NF
230,Low,298.3,308.6,1570,34.8,175,0,0,0,0,0,0,NF
231,Low,298.3,308.4,1408,43.1,177,0,0,0,0,0,0,NF
232,Low,298.2,308.4,1424,47.6,179,0,0,0,0,0,0,NF
233,Low,298.2,308.4,1512,34.9,181,0,0,0,0,0,0,NF
234,Low,298.2,308.4,1478,42.9,183,0,0,0,0,0,0,NF
235,Medium,298.1,308.3,1680,33.7,185,0,0,0,0,0,0,NF
236,Low,298.1,308.3,1495,38.7,188,0,0,0,0,0,0,NF
237,Medium,298.0,308.1,1552,36.6,190,0,0,0,0,0,0,NF
238,Low,297.9,308.1,1393,50.3,193,0,0,0,0,0,0,NF
239,Low,298.0,308.2,1611,30.6,195,0,0,0,0,0,0,NF
240,Medium,298.0,308.1,1339,51.6,197,0,0,0,0,0,0,NF
241,Low,298.0,308.1,1777,24.3,200,0,0,0,0,0,0,NF
242,Low,298.0,308.2,1348,58.8,202,1,0,0,0,1,0,OSF
243,Low,298.0,308.2,1442,44.1,204,0,0,0,0,0,0,NF
244,Medium,298.0,308.2,1395,49.1,206,0,0,0,0,0,0,NF
245,Medium,297.9,308.1,1627,31.4,209,0,0,0,0,0,0,NF
246,Low,297.9,308.1,1585,33.5,212,0,0,0,0,0,0,NF
247,Low,298.0,308.2,1469,45.5,214,0,0,0,0,0,0,NF
248,Low,298.0,308.3,1362,56.8,216,1,0,0,0,1,0,OSF
249,Low,298.0,308.3,1405,56.2,218,1,0,0,0,1,0,OSF
250,Low,298.0,308.3,1662,32.7,0,0,0,0,0,0,0,NF
251,Medium,298.0,308.2,1466,42.6,2,0,0,0,0,0,0,NF
252,Low,298.0,308.2,1620,35.8,5,0,0,0,0,0,0,NF
253,Low,298.0,308.2,1357,48.2,7,0,0,0,0,0,0,NF
254,Low,298.0,308.2,1514,37.9,9,0,0,0,0,0,0,NF
255,Low,298.0,308.2,1489,40.4,11,0,0,0,0,0,0,NF
256,Low,298.1,308.3,1331,63.0,13,0,0,0,0,0,0,NF
257,Low,298.0,308.0,1615,29.5,15,0,0,0,0,0,0,NF
258,Low,298.1,308.2,1482,37.9,17,0,0,0,0,0,0,NF
259,Medium,298.1,308.2,1420,63.9,19,1,0,0,1,0,0,PWF
260,Medium,298.2,308.3,1522,49.1,22,0,0,0,0,0,0,NF
261,Low,298.1,308.2,1654,32.1,25,0,0,0,0,0,0,NF
262,Medium,298.1,308.2,1736,26.8,27,0,0,0,0,0,0,NF
263,Medium,298.0,308.1,1587,32.3,30,0,0,0,0,0,0,NF
264,Low,298.1,308.2,1390,47.5,33,0,0,0,0,0,0,NF
265,Low,298.0,308.1,1454,37.1,35,0,0,0,0,0,0,NF
266,High,298.0,308.1,1440,43.7,37,0,0,0,0,0,0,NF
267,Low,297.9,308.0,1954,21.1,42,0,0,0,0,0,0,NF
268,High,297.9,308.0,1800,24.8,44,0,0,0,0,0,0,NF
269,Low,298.0,308.0,1524,37.0,49,0,0,0,0,0,0,NF
270,High,298.0,308.0,1520,39.6,51,0,0,0,0,0,0,NF
271,Medium,298.1,308.1,1452,40.8,56,0,0,0,0,0,0,NF
272,Low,298.1,308.1,1484,40.4,59,0,0,0,0,0,0,NF
273,Low,298.1,308.0,1426,46.0,61,0,0,0,0,0,0,NF
274,Low,298.1,308.0,1652,28.5,63,0,0,0,0,0,0,NF
275,Low,298.0,308.0,1401,54.7,65,0,0,0,0,0,0,NF
276,Medium,298.0,307.9,1750,26.6,67,0,0,0,0,0,0,NF
277,High,298.0,308.0,1479,50.7,70,0,0,0,0,0,0,NF
278,Medium,298.0,308.0,1620,29.4,75,0,0,0,0,0,0,NF
279,Low,298.0,308.1,1819,23.4,78,0,0,0,0,0,0,NF
280,Medium,298.1,308.1,1456,43.7,80,0,0,0,0,0,0,NF
281,Low,298.1,308.0,1626,36.5,83,0,0,0,0,0,0,NF
282,Medium,298.1,308.1,1390,49.8,85,0,0,0,0,0,0,NF
283,Low,298.2,308.2,1469,43.0,88,0,0,0,0,0,0,NF
284,Low,298.2,308.3,2051,19.2,90,0,0,0,0,0,0,NF
285,Low,298.2,308.3,1568,36.0,92,0,0,0,0,0,0,NF
286,Low,298.2,308.3,1589,33.2,94,0,0,0,0,0,0,NF
287,Low,298.2,308.3,1805,31.6,96,0,0,0,0,0,0,NF
288,High,298.2,308.4,1385,42.2,98,0,0,0,0,0,0,NF
289,Low,298.1,308.4,1436,46.7,103,0,0,0,0,0,0,NF
290,Low,298.1,308.4,1438,45.6,105,0,0,0,0,0,0,NF
291,Low,298.0,308.3,1473,42.6,107,0,0,0,0,0,0,NF
292,Low,298.1,308.4,1335,40.2,109,0,0,0,0,0,0,NF
293,High,298.1,308.5,1392,44.8,111,0,0,0,0,0,0,NF
294,Medium,298.1,308.5,1372,51.1,116,0,0,0,0,0,0,NF
295,Medium,298.1,308.6,1716,30.7,119,0,0,0,0,0,0,NF
296,Low,298.0,308.5,1395,46.2,122,0,0,0,0,0,0,NF
297,Low,298.0,308.5,1713,25.3,124,0,0,0,0,0,0,NF
298,High,297.9,308.5,2129,18.7,126,0,0,0,0,0,0,NF
299,Medium,297.8,308.3,1567,35.6,131,0,0,0,0,0,0,NF
300,Low,297.8,308.4,1622,38.3,134,0,0,0,0,0,0,NF
301,Low,297.7,308.4,1740,27.1,136,0,0,0,0,0,0,NF
302,High,297.8,308.4,1512,35.1,138,0,0,0,0,0,0,NF
303,Medium,297.8,308.4,1479,43.5,143,0,0,0,0,0,0,NF
304,Low,297.8,308.4,1737,27.5,146,0,0,0,0,0,0,NF
305,Low,297.8,308.4,2129,19.2,148,0,0,0,0,0,0,NF
306,Low,297.8,308.4,1374,47.1,150,0,0,0,0,0,0,NF
307,Medium,297.8,308.4,1579,36.6,152,0,0,0,0,0,0,NF
308,Low,297.9,308.5,1305,47.2,155,0,0,0,0,0,0,NF
309,Medium,297.9,308.5,1449,40.8,157,0,0,0,0,0,0,NF
310,High,298.0,308.6,1526,41.8,160,0,0,0,0,0,0,NF
311,Medium,298.0,308.6,1453,44.1,165,0,0,0,0,0,0,NF
312,Low,297.9,308.6,1468,36.0,168,0,0,0,0,0,0,NF
313,Low,298.0,308.6,1313,50.8,170,0,0,0,0,0,0,NF
314,Medium,297.9,308.5,1300,53.0,172,0,0,0,0,0,0,NF
315,Low,297.9,308.4,1646,40.6,175,0,0,0,0,0,0,NF
316,Low,297.8,308.4,1714,33.2,177,0,0,0,0,0,0,NF
317,Low,297.8,308.4,1685,28.4,179,0,0,0,0,0,0,NF
318,Low,297.8,308.4,1512,39.9,181,0,0,0,0,0,0,NF
319,Low,297.8,308.4,1612,32.1,183,0,0,0,0,0,0,NF
320,High,297.8,308.4,1550,38.2,185,0,0,0,0,0,0,NF
321,Low,297.8,308.4,1518,32.5,190,0,0,0,0,0,0,NF
322,Low,297.8,308.5,1448,40.0,192,0,0,0,0,0,0,NF
323,Low,297.8,308.5,1561,46.3,194,0,0,0,0,0,0,NF
324,Medium,297.8,308.5,1488,41.9,196,0,0,0,0,0,0,NF
325,Low,297.8,308.5,1699,27.8,199,0,0,0,0,0,0,NF
326,Low,297.7,308.5,1501,41.4,201,0,0,0,0,0,0,NF
327,Low,297.7,308.5,1373,56.7,203,1,0,0,0,1,0,OSF
328,High,297.6,308.4,1703,31.4,205,0,0,0,0,0,0,NF
329,High,297.7,308.5,1720,29.9,210,0,0,0,0,0,0,NF
330,Medium,297.6,308.4,1398,41.9,215,0,0,0,0,0,0,NF
331,Medium,297.6,308.4,1391,51.9,218,0,0,0,0,0,0,NF
332,Medium,297.6,308.3,1538,40.2,0,0,0,0,0,0,0,NF
333,Low,297.5,308.2,1647,31.3,3,0,0,0,0,0,0,NF
334,Medium,297.5,308.1,1469,44.8,5,0,0,0,0,0,0,NF
335,Low,297.4,308.1,1749,25.9,8,0,0,0,0,0,0,NF
336,Medium,297.6,308.2,1995,20.5,10,0,0,0,0,0,0,NF
337,Low,297.6,308.3,1742,27.7,13,0,0,0,0,0,0,NF
338,Low,297.5,308.2,1563,38.2,15,0,0,0,0,0,0,NF
339,Medium,297.5,308.2,1713,32.2,17,0,0,0,0,0,0,NF
340,Low,297.4,308.1,1474,39.4,20,0,0,0,0,0,0,NF
341,Medium,297.4,308.2,1530,32.6,22,0,0,0,0,0,0,NF
342,Low,297.4,308.2,1471,46.5,25,0,0,0,0,0,0,NF
343,Low,297.5,308.3,1388,48.6,27,0,0,0,0,0,0,NF
344,Medium,297.5,308.2,2448,13.8,29,0,0,0,0,0,0,NF
345,Low,297.5,308.3,1585,32.9,32,0,0,0,0,0,0,NF
346,Medium,297.5,308.3,1459,45.2,34,0,0,0,0,0,0,NF
347,Low,297.5,308.3,1544,40.8,37,0,0,0,0,0,0,NF
348,Low,297.6,308.3,1617,31.7,39,0,0,0,0,0,0,NF
349,Low,297.6,308.3,1595,34.3,41,0,0,0,0,0,0,NF
350,High,297.6,308.3,1400,44.3,43,0,0,0,0,0,0,NF
351,Medium,297.6,308.4,1611,31.0,48,0,0,0,0,0,0,NF
352,Medium,297.6,308.4,1507,46.0,51,0,0,0,0,0,0,NF
353,High,297.5,308.3,1674,30.0,54,0,0,0,0,0,0,NF
354,Low,297.6,308.3,1658,34.3,59,0,0,0,0,0,0,NF
355,Low,297.6,308.3,1623,36.9,61,0,0,0,0,0,0,NF
356,Medium,297.6,308.4,1398,48.9,63,0,0,0,0,0,0,NF
357,Low,297.6,308.4,1517,34.2,66,0,0,0,0,0,0,NF
358,Medium,297.6,308.3,1467,36.7,68,0,0,0,0,0,0,NF
359,Medium,297.6,308.3,1567,34.6,71,0,0,0,0,0,0,NF
360,Medium,297.5,308.3,1521,38.2,74,0,0,0,0,0,0,NF
361,Low,297.5,308.3,1596,36.8,77,0,0,0,0,0,0,NF
362,High,297.6,308.3,1640,30.9,79,0,0,0,0,0,0,NF
363,Low,297.6,308.3,1438,47.8,84,0,0,0,0,0,0,NF
364,Low,297.6,308.4,1407,55.2,86,0,0,0,0,0,0,NF
365,Low,297.6,308.4,1353,57.5,88,0,0,0,0,0,0,NF
366,Medium,297.6,308.5,1552,40.9,90,0,0,0,0,0,0,NF
367,Medium,297.6,308.4,1569,38.3,93,0,0,0,0,0,0,NF
368,Low,297.5,308.4,1489,39.5,96,0,0,0,0,0,0,NF
369,High,297.5,308.4,1587,36.1,98,0,0,0,0,0,0,NF
370,Medium,297.5,308.3,1622,37.2,103,0,0,0,0,0,0,NF
371,Low,297.5,308.4,1604,38.1,106,0,0,0,0,0,0,NF
372,Medium,297.4,308.3,1405,51.7,108,0,0,0,0,0,0,NF
